question,expected_answer,module,lesson,cohort,type
How do I spot a financial scam before it happens?,"There are many types of financial scams and are improving every day to get smarter than the receiving end; However, there are many telling signs they leave that will leave you cautious of their message and can help you think on whether or not the message is legitimate or not. One of the first red flags they give is urgency because this triggers panic and shuts down your analytic thinking making you almost make an irrational decision. Another red flag when you see it you should move with caution is pretending to be a trusted organization but with this may come a random message that doesn't really apply to you so that will help filter between whether the message was real or not. Knowing 2 of the most common tactics they use will help spot a scam, If you'd like to know more ways or tactics they use feel free to ask.",Module 5: Planning for the Future,Identifying Common Scams,core27,standard
How do I stay safe from fraud while I'm online?,"The best way to stay safe from fraud online is be very secure and cautious on where you are clicking and putting in your personal information. Make sure to use strong passwords, on top of that enabling a 2 factor authentication will also double secure your accounts etc. Any message with a sense of urgency be sure to proceed with caution, and anything that seems to good to be true or an unbelievable job offer make sure to double check the source before adding any of you personal information. Doing so will allow your passwords, accounts, and information to be very secure and stay safe from fraud.",Module 5: Planning for the Future,Online Financial Safety,core27,standard
What kind of insurance do I really need as a student?,"Honestly, the type of insurance you need depends on your situation but if you own a car auto insurance is almost required in every state. Renters insurance would also be a good option to protect your belongings in case they were stolen or damaged by something like a burst pipe or fire. The biggest insurance a student should have is health insurance because it helps cover costs with doctor visits and prescriptions you may get if sick or hurt.",Module 5: Planning for the Future,Auto Home and Renters Insurance,core27,standard
How do I go about disputing something on my credit report?,"If you find a mistake on your credit report, you can dispute it by first getting a copy of your report and checking the information you believe is incorrect. Then contact the credit bureau that reported the error and provide details about the mistake along with any documents that support your claim. The credit bureau will investigate the dispute and will respond with the results. Checking your credit report regularly and fixing errors quickly can help protect your credit score.",Module 5: Planning for the Future,Filing a Dispute,core27,standard
"What's ethical investing, and how do I jump in?","Ethical investing means putting your money into companies or funds that match your values, such as businesses that care about the environment, treat workers fairly, or have good business practices. The best place to start would be to research the business that shares the same values as you and then go from there.",Module 6: Financial Independence,Ethical Investing,core27,standard
How do I keep my finances consistent over the long haul?,"The secret to financial consistency is having a budget or a system in place to directly see where your money is going and how it is being used so you can manage your finances based on that to stay consistent through the months, the plus about a budget is it is totally tailored to your goals so if something changes or you don't like how much you are spending in one place you can switch it around maybe even change your goals a little to match your situation.",Module 6: Financial Independence,Consistency is Key,core27,standard
How can I use my money to do some good in the world?,"Be intentional about where you spend, save, and give your money out. Even as a student, you can do generous gestures like donating to causes you care about, supporting local businesses, even volunteering your time can make a difference. Avoid purchases that hurt the environment and spend responsibly by buying from companies that support positive values will be money well spent.",Module 6: Financial Independence,Use Your Power for Good,core27,standard
Why do I keep putting off dealing with my money until it turns into a problem?,,Module 1: Money Mindset,Behavior That Prevent Progress,phase6,standard
I've always told myself I'm just bad with money. Is that actually true?,,Module 1: Money Mindset,Behavior That Prevent Progress,phase6,standard
After a rough week I buy myself something nice and then regret it. Why do I do that?,,Module 1: Money Mindset,Behavior That Prevent Progress,phase6,standard
"If I just got a job that paid more, wouldn't that solve most of this?",,Module 1: Money Mindset,Behavior That Prevent Progress,phase6,standard
How do I actually break out of bad money patterns instead of just knowing about them?,,Module 1: Money Mindset,Cycle of Liberation|Cycle of Socialization,phase6,standard
What does self love have to do with money?,,Module 1: Money Mindset,Cycle of Liberation,phase6,standard
Honestly the whole system feels rigged. Is it even worth trying?,,Module 1: Money Mindset,Cycle of Liberation,phase6,standard
What do I actually get out of fixing my relationship with money?,,Module 1: Money Mindset,Cycle of Liberation,phase6,standard
Where do money habits even come from?,,Module 1: Money Mindset,Cycle of Socialization,phase6,standard
My parents never talked about money in front of us. Does that affect me now?,,Module 1: Money Mindset,Cycle of Socialization,phase6,standard
I'm scared to invest because I don't want to lose anything. Is that normal?,,Module 1: Money Mindset,Cycle of Socialization,phase6,standard
I hesitate over a small copay even when I can afford it. What's going on there?,,Module 1: Money Mindset,Cycle of Socialization,phase6,standard
Are some people just naturally good with money?,,Module 1: Money Mindset,Cycle of Socialization,phase6,standard
money anxiety?,,Module 1: Money Mindset,Cycle of Socialization,phase6,vague
I'm the first in my family to go to college and I feel clueless about money. Is that common?,,Module 1: Money Mindset,First Gen Students,phase6,standard
Do first gen students end up borrowing more than other students?,,Module 1: Money Mindset,First Gen Students,phase6,standard
Everyone else seems to already know how this works and I feel like a fraud.,,Module 1: Money Mindset,First Gen Students,phase6,standard
I feel guilty for doing better than my parents did. Is that a real thing?,,Module 1: Money Mindset,First Gen Students,phase6,standard
Can money stress actually make someone drop out of school?,,Module 1: Money Mindset,First Gen Students,phase6,standard
Why do some families have so much more to pass down than others?,,Module 1: Money Mindset,Generational Legacies,phase6,standard
What is redlining and does it still affect families today?,,Module 1: Money Mindset,Generational Legacies,phase6,standard
My roommate owes me money and I don't know how to bring it up.,,Module 1: Money Mindset,Money and Relationships,phase6,standard
I spend way more when I'm around friends who have more money than me.,,Module 1: Money Mindset,Money and Relationships,phase6,standard
Should I lend money to family?,,Module 1: Money Mindset,Money and Relationships,phase6,standard
How do I tell my friends I can't afford to go out without making it weird?,,Module 1: Money Mindset,Money and Relationships,phase6,standard
Me and my partner keep fighting about money. What do we do?,,Module 1: Money Mindset,Money and Relationships,phase6,standard
How do I actually break a habit I know is bad for me?,,Module 1: Money Mindset,Unpacking and Unlearning,phase6,standard
"I know what I'm supposed to do with money, I just don't do it. Why?",,Module 1: Money Mindset,Unpacking and Unlearning,phase6,standard
How do I start changing habits I picked up from home?,,Module 1: Money Mindset,Unpacking and Unlearning,phase6,standard
I keep replaying money mistakes I made last year. How do I let it go?,,Module 1: Money Mindset|Module 3: Money Management,Unpacking and Unlearning|Give Yourself Grace,phase6,standard
What's actually the difference between a checking and a savings account?,,Module 2: Building Healthy Habits,Account Management Foundations,phase6,standard
"When I use my debit card and it asks debit or credit, which should I pick?",,Module 2: Building Healthy Habits,Account Management Foundations,phase6,standard
How do I set up direct deposit for my job?,,Module 2: Building Healthy Habits,Account Management Foundations,phase6,standard
How do I write a check? I've never had to do it.,,Module 2: Building Healthy Habits,Account Management Foundations,phase6,standard
My bank charged me $35 for going a few dollars over. Can I avoid that?,,Module 2: Building Healthy Habits,Avoiding Fees and Overdrafts,phase6,standard
Why is my available balance different from my total balance?,,Module 2: Building Healthy Habits,Avoiding Fees and Overdrafts,phase6,standard
I keep getting hit with ATM fees. What can I do?,,Module 2: Building Healthy Habits,Avoiding Fees and Overdrafts,phase6,standard
I got denied when I tried to open a bank account. Why would that happen?,,Module 2: Building Healthy Habits,Avoiding Fees and Overdrafts,phase6,standard
How often should I actually sit down and look at my finances?,,Module 2: Building Healthy Habits,Creating New Habits,phase6,standard
I have ADHD and routines never stick. Any tips for keeping up with money stuff?,,Module 2: Building Healthy Habits,Creating New Habits,phase6,standard
Checking my budget feels pointless when I have almost no money. Why bother?,,Module 2: Building Healthy Habits,Creating New Habits,phase6,standard
I keep waiting until I can save a real amount before I start. Is that a mistake?,,Module 2: Building Healthy Habits,Just Start,phase6,standard
Is saving $5 a week even worth it?,,Module 2: Building Healthy Habits,Just Start,phase6,standard
When am I supposed to fill out the FAFSA and which year's taxes do I use?,,Module 2: Building Healthy Habits,Navigating Financial Aid,phase6,standard
"What's the difference between a grant, a scholarship, and work study?",,Module 2: Building Healthy Habits,Navigating Financial Aid,phase6,standard
My tuition bill is due before my aid comes in. What are my options?,,Module 2: Building Healthy Habits,Navigating Financial Aid,phase6,standard
What's the SAI and why is it different from what I actually owe?,,Module 2: Building Healthy Habits,Navigating Financial Aid,phase6,standard
"Bank or credit union, which one should I go with?",,Module 2: Building Healthy Habits,Selecting a Financial Institution,phase6,standard
What should I be looking for when picking where to keep my money?,,Module 2: Building Healthy Habits,Selecting a Financial Institution,phase6,standard
worth switching banks?,,Module 2: Building Healthy Habits,Selecting a Financial Institution|Avoiding Fees and Overdrafts,phase6,vague
how do i chose a bank thats good for studnets,,Module 2: Building Healthy Habits,Selecting a Financial Institution,phase6,typo
How do I set a savings goal I'll actually stick to?,,Module 2: Building Healthy Habits,Setting Financial Goals|Creating New Habits,phase6,standard
Should I build up savings first or pay off what I owe first?,,Module 2: Building Healthy Habits,Setting Financial Goals,phase6,standard
What does making a goal SMART even mean?,,Module 2: Building Healthy Habits,Setting Financial Goals,phase6,standard
whats the diffrence between subsidised and unsubsidized loans,,Module 2: Building Healthy Habits,Student Loans,phase6,typo
Should I take a private loan or stick to federal ones?,,Module 2: Building Healthy Habits,Student Loans,phase6,standard
How do I know if borrowing is worth it for the major I picked?,,Module 2: Building Healthy Habits|Module 4: Navigating Credit,Student Loans|Deciding to Take Out a Loan,phase6,standard
I make impulsive money decisions and regret them later. How do I slow down?,,Module 2: Building Healthy Habits,Tactics for Mindful Decision Making,phase6,standard
Tuition keeps going up and I can't do anything about it. How do I stop stressing over it?,,Module 2: Building Healthy Habits,Tactics for Mindful Decision Making,phase6,standard
Where can I get free help with money stuff on campus?,,Module 2: Building Healthy Habits,Tactics for Mindful Decision Making,phase6,standard
Is it safe to link my bank account to Venmo?,,Module 2: Building Healthy Habits,Using Payment Apps,phase6,standard
Someone sent me money by accident and wants it back. Should I just send it?,,Module 2: Building Healthy Habits,Using Payment Apps,phase6,standard
Can everyone see my Venmo payments?,,Module 2: Building Healthy Habits,Using Payment Apps,phase6,standard
Why did I get charged extra for sending money from my credit card on Cash App?,,Module 2: Building Healthy Habits,Using Payment Apps,phase6,standard
I'm broke and running out of options. Is there any help on campus?,,Module 3: Money Management,Bridging Income Gaps,phase6,standard
Should I get a part time job or will it hurt my grades?,,Module 3: Money Management,Bridging Income Gaps,phase6,standard
What can I actually do to earn more than I do now?,,Module 3: Money Management,Bridging Income Gaps,phase6,standard
Is living on campus or off campus cheaper?,,Module 3: Money Management,Common Student Decisions,phase6,standard
how do i not spend a forutne on textbooks every semester,,Module 3: Money Management,Common Student Decisions,phase6,typo
I want to study abroad but I can't afford it. Any options?,,Module 3: Money Management,Common Student Decisions,phase6,standard
My roommate stopped paying rent and my name is on the lease. What now?,,Module 3: Money Management,Common Student Decisions,phase6,standard
I blew my budget on a concert and feel awful about it. How bad is that?,,Module 3: Money Management,Give Yourself Grace,phase6,standard
Everyone I know saves more than me and I feel like a failure.,,Module 3: Money Management,Give Yourself Grace,phase6,standard
Is it okay to spend money on fun while I'm still broke?,,Module 3: Money Management,Give Yourself Grace,phase6,standard
Every budget I try falls apart after two weeks. What am I doing wrong?,,Module 3: Money Management,Give Yourself Grace|Spending Plan Foundations,phase6,standard
This is my first job and I have no idea how to fill out a W-4.,,Module 3: Money Management,Income Taxes,phase6,standard
When do I have to file my taxes by?,,Module 3: Money Management,Income Taxes,phase6,standard
Is there anywhere I can get my taxes done for free?,,Module 3: Money Management,Income Taxes,phase6,standard
What is the 1098-T form my school sent me?,,Module 3: Money Management,Income Taxes,phase6,standard
I think I got passed over for a job because of my age. What can I do?,,Module 3: Money Management,Know Your Rights,phase6,standard
Is my employer allowed to hide the salary range?,,Module 3: Money Management,Know Your Rights,phase6,standard
Something happened at work that felt like harassment. Who do I report it to?,,Module 3: Money Management,Know Your Rights,phase6,standard
spreadsheet or app?,,Module 3: Money Management,Methods and Tools,phase6,vague
What features should I look for in a budgeting app?,,Module 3: Money Management,Methods and Tools,phase6,standard
Do I have to redo my budget every month?,,Module 3: Money Management,Methods and Tools,phase6,standard
Should I negotiate my first job offer or just take what they give me?,,Module 3: Money Management,Salary Negotiation,phase6,standard
How do I figure out what I should be getting paid?,,Module 3: Money Management,Salary Negotiation,phase6,standard
Asking for more money makes me really uncomfortable. Any advice?,,Module 3: Money Management,Salary Negotiation,phase6,standard
What's a high yield savings account and should I get one?,,Module 3: Money Management,Saving Tips & Tricks,phase6,standard
What happens if I pull money out of a CD early?,,Module 3: Money Management,Saving Tips & Tricks,phase6,standard
How do I save money without having to think about it?,,Module 3: Money Management,Saving Tips & Tricks,phase6,standard
What's the difference between a budget and a spending plan?,,Module 3: Money Management,Spending Plan Foundations,phase6,standard
My income is different every month. How do I plan around that?,,Module 3: Money Management,Spending Plan Foundations,phase6,standard
How does the 50/30/20 thing work?,,Module 3: Money Management,Spending Plan Foundations,phase6,standard
Should I lease or buy my first car?,,Module 4: Navigating Credit,Auto Loans Deep Dive,phase6,standard
Is it better to get financing at the dealership or through my own bank?,,Module 4: Navigating Credit,Auto Loans Deep Dive,phase6,standard
The dealer wants to roll what I still owe into the new loan. Is that bad?,,Module 4: Navigating Credit,Auto Loans Deep Dive,phase6,standard
Should I take the longer loan so my monthly payment is lower?,,Module 4: Navigating Credit,Auto Loans Deep Dive|Deciding to Take Out a Loan,phase6,standard
How much should I put down on a car?,,Module 4: Navigating Credit,Auto Loans Deep Dive,phase6,standard
Should I get a credit card as a student or is that a trap?,,Module 4: Navigating Credit,Credit Cards as a Financial Tool,phase6,standard
How much of my credit limit is safe to use?,,Module 4: Navigating Credit,Credit Cards as a Financial Tool,phase6,standard
What's a secured credit card?,,Module 4: Navigating Credit,Credit Cards as a Financial Tool,phase6,standard
I barely use my card. Will it get closed for being inactive?,,Module 4: Navigating Credit,Credit Cards as a Financial Tool,phase6,standard
Are cash back cards actually worth it?,,Module 4: Navigating Credit,Credit Cards as a Financial Tool,phase6,standard
How do I know if a loan is actually worth taking?,,Module 4: Navigating Credit,Deciding to Take Out a Loan,phase6,standard
My friend asked me to cosign for them. What am I signing up for?,,Module 4: Navigating Credit,Deciding to Take Out a Loan,phase6,standard
What's the difference between a cosigner and an authorized user?,,Module 4: Navigating Credit,Deciding to Take Out a Loan,phase6,standard
How do I figure out a monthly payment I can actually afford?,,Module 4: Navigating Credit,Deciding to Take Out a Loan,phase6,standard
What's the difference between a loan and a line of credit?,,Module 4: Navigating Credit,Installment Loans,phase6,standard
What does principal mean?,,Module 4: Navigating Credit,Installment Loans,phase6,standard
"Fixed or variable rate, which one is better?",,Module 4: Navigating Credit,Installment Loans,phase6,standard
What makes a loan secured versus unsecured?,,Module 4: Navigating Credit,Installment Loans,phase6,standard
Does my credit score actually matter for renting an apartment?,,Module 4: Navigating Credit,Intro to Navigating Credit|The History of Credit Reports,phase6,standard
credit?,,Module 4: Navigating Credit,Intro to Navigating Credit,phase6,vague
How do I get a free copy of my credit report?,,Module 4: Navigating Credit|Module 5: Planning for the Future,Know Your Rights|Filing a Dispute,phase6,standard
There's an account on my credit report that isn't mine. What do I do?,,Module 4: Navigating Credit,Know Your Rights,phase6,standard
How long does a credit bureau have to look into a dispute?,,Module 4: Navigating Credit|Module 5: Planning for the Future,Know Your Rights|Filing a Dispute,phase6,standard
Can a lender turn me down because I get public assistance?,,Module 4: Navigating Credit,Know Your Rights,phase6,standard
Should I pay off the smallest balance first or the highest interest one?,,Module 4: Navigating Credit,Paying Down Debt,phase6,standard
Is a 0% balance transfer offer a good idea?,,Module 4: Navigating Credit,Paying Down Debt,phase6,standard
I can't make my student loan payment this month. What are my options?,,Module 4: Navigating Credit,Paying Down Debt|Student Loan Deep Dive,phase6,standard
Should I close my old credit card?,,Module 4: Navigating Credit,Paying Down Debt,phase6,standard
Is debt consolidation worth it?,,Module 4: Navigating Credit,Paying Down Debt,phase6,standard
When do I have to start paying my student loans back?,,Module 4: Navigating Credit,Student Loan Deep Dive,phase6,standard
I got a refund check from my loan. What should I do with it?,,Module 4: Navigating Credit,Student Loan Deep Dive,phase6,standard
Someone messaged me offering to wipe out my student loans for a fee. Is that legit?,,Module 4: Navigating Credit,Student Loan Deep Dive,phase6,standard
What's the difference between deferment and forbearance?,,Module 4: Navigating Credit,Student Loan Deep Dive,phase6,standard
Does paying my rent on time help my credit?,,Module 4: Navigating Credit,The History of Credit Reports,phase6,standard
Who decides what goes on my credit report?,,Module 4: Navigating Credit,The History of Credit Reports,phase6,standard
Has the credit system always been fair to everyone?,,Module 4: Navigating Credit,The History of Credit Reports,phase6,standard
What do lenders actually look at when they decide whether to approve me?,,Module 4: Navigating Credit,What Factors Do Loan Officers Consider,phase6,standard
What's debt to income ratio and what number should I be aiming for?,,Module 4: Navigating Credit,What Factors Do Loan Officers Consider,phase6,standard
I just switched jobs. Will that hurt my chances of getting approved?,,Module 4: Navigating Credit,What Factors Do Loan Officers Consider,phase6,standard
whats a good credit score for a collage student,,Module 4: Navigating Credit,What Makes a Good FICO Score,phase6,typo
What actually moves my credit score the most?,,Module 4: Navigating Credit,What Makes a Good FICO Score,phase6,standard
If I apply at a few places for a car loan does that wreck my score?,,Module 4: Navigating Credit,What Makes a Good FICO Score,phase6,standard
Do I need renters insurance for my apartment?,,Module 5: Planning for the Future,Auto Home and Renters Insurance,phase6,standard
What does full coverage actually mean on car insurance?,,Module 5: Planning for the Future,Auto Home and Renters Insurance,phase6,standard
Is it cheaper to pay car insurance monthly or all at once?,,Module 5: Planning for the Future,Auto Home and Renters Insurance,phase6,standard
What's gap insurance and do I need it?,,Module 5: Planning for the Future,Auto Home and Renters Insurance,phase6,standard
How do I freeze my credit?,,Module 5: Planning for the Future,Filing a Dispute,phase6,standard
A family member opened something in my name. What do I do?,,Module 5: Planning for the Future,Filing a Dispute,phase6,standard
Will disputing something hurt my credit score?,,Module 5: Planning for the Future,Filing a Dispute,phase6,standard
I got an email saying I won a scholarship but I have to pay a fee first. Is that real?,,Module 5: Planning for the Future,Identifying Common Scams,phase6,standard
A company offered me a remote job and wants my bank info upfront. Is that sketchy?,,Module 5: Planning for the Future,Identifying Common Scams,phase6,standard
How do I tell if an apartment listing is a scam?,,Module 5: Planning for the Future,Identifying Common Scams,phase6,standard
Is it safe to check my bank account on campus wifi?,,Module 5: Planning for the Future,Online Financial Safety,phase6,standard
How do I keep my accounts from getting hacked?,,Module 5: Planning for the Future,Online Financial Safety,phase6,standard
what is multi factor authentification and do i need it,,Module 5: Planning for the Future,Online Financial Safety,phase6,typo
My landlord won't fix anything and just raised the rent. Do I have any leverage?,,Module 6: Financial Independence,Brooklyn Rent Strikes,phase6,standard
What actually happened with the Brooklyn rent strike?,,Module 6: Financial Independence,Brooklyn Rent Strikes,phase6,standard
Can tenants really get a rent increase reversed?,,Module 6: Financial Independence,Brooklyn Rent Strikes,phase6,standard
How long do I have to keep this up before it actually pays off?,,Module 6: Financial Independence,Consistency is Key,phase6,standard
Do my money priorities change as I get older?,,Module 6: Financial Independence,Consistency is Key,phase6,standard
I went through all this financial literacy stuff and still don't feel different. Why?,,Module 6: Financial Independence,Consistency is Key,phase6,standard
How do I stop buying things on impulse?,,Module 6: Financial Independence,Embracing Your Worth,phase6,standard
I stress about the economy and it wrecks my mood. How do I focus on what I can control?,,Module 6: Financial Independence,Embracing Your Worth,phase6,standard
Why does taking care of my finances feel like something I don't deserve?,,Module 6: Financial Independence,Embracing Your Worth,phase6,standard
Can I invest without funding stuff I disagree with?,,Module 6: Financial Independence,Ethical Investing,phase6,standard
What does ESG mean?,,Module 6: Financial Independence,Ethical Investing,phase6,standard
Do I make less money if I only invest in ethical companies?,,Module 6: Financial Independence,Ethical Investing,phase6,standard
Why did groceries get so expensive when companies are posting record profits?,,Module 6: Financial Independence,Let Them Eat Cereal,phase6,standard
Do boycotts actually change anything?,,Module 6: Financial Independence,Let Them Eat Cereal,phase6,standard
What is greedflation?,,Module 6: Financial Independence,Let Them Eat Cereal,phase6,standard
How do I talk to my younger siblings about money without being preachy?,,Module 6: Financial Independence,Pay it Forward,phase6,standard
Why is talking about money so taboo?,,Module 6: Financial Independence|Module 1: Money Mindset,Pay it Forward|Cycle of Socialization,phase6,standard
I finished the course. What should I actually do next?,,Module 6: Financial Independence,Personal Reflection,phase6,standard
How do I tell if my money mindset has actually changed?,,Module 6: Financial Independence,Personal Reflection,phase6,standard
What was the whole GameStop thing about?,,Module 6: Financial Independence,The Short Squeeze,phase6,standard
What does shorting a stock mean?,,Module 6: Financial Independence,The Short Squeeze,phase6,standard
Should I put money into a stock everyone online is hyping?,,Module 6: Financial Independence,The Short Squeeze,phase6,standard
"Once I have money, how can I use it to help other people?",,Module 6: Financial Independence,Use Your Power for Good,phase6,standard
Does donating to charity do anything for my taxes?,,Module 6: Financial Independence,Use Your Power for Good,phase6,standard
