Task Name,Description content,Status,Priority,Start date,Due date,Task assignee,Tags,Checklist
"PR-007 Agree the frontend chat safety contract","As the frontend and backend teams we want one documented request and response format so that login safe rendering streams and future feedback work together. Done when the other student team approves the token header NDJSON events Markdown rules and error behavior. Dependency: DEC-001. Demo: shared contract and sample request response.",Backlog,1,2026/09/14,2026/09/25,Puneeth,"P0|s02|frontend|external-dependency","Write API contract|Review with frontend students|Publish sample events|Record open issues"
"PR-008 Create an initial answer-quality test set","As the project team we want representative student questions and expected sources so that later RAG changes are measured rather than guessed. Done when the existing retrieval questions are versioned and expanded with out-of-scope safety and citation cases. Demo: baseline report is saved.",Backlog,2,2026/09/14,2026/09/20,Eric,"P1|s02|quality|RAG","Version golden questions|Add out-of-scope cases|Record baseline results"
"PR-009 Verify a complete response before streaming it","As a student I want unsafe advice blocked before I see it so that a replacement message is never needed after harmful text appeared. Done when the stream holds generated content until the output guardrail approves it and unsafe content is never persisted as chat history. Demo: simulated unsafe response yields only the safe replacement.",Backlog,1,2026/09/21,2026/09/27,Puneeth,"P0|s03|security|streaming","Refactor stream buffering|Guard complete response|Persist only approved text|Add streaming regression tests"
"PR-010 Make the widget render chatbot replies safely","As a student I want the web widget to render approved Markdown without executing HTML so that browser safety matches backend safety. Done when the frontend student team disables raw HTML and follows the approved link behavior. Dependency: PR-007. Demo: malicious formatting payload renders as harmless text.",Backlog,1,2026/09/21,2026/09/27,,"P0|s03|frontend|external-dependency|security","Implement safe renderer|Validate allowed links|Test stream contract"
"PR-011 Protect streamed chat error and cancellation behavior","As a student I want a clear final message when streaming fails so that the chat interface never hangs or shows a partial unverified answer. Done when success blocked error and cancellation cases all finish with the documented terminal event. Dependency: PR-009. Demo: frontend test of each terminal case.",Backlog,2,2026/09/21,2026/09/27,Eric,"P0|s03|streaming|testing","Define terminal events|Test error path|Test cancellation path"
"PR-012 Add model-based prompt-injection protection","As a student I want the chatbot to resist disguised attempts to change its rules so that the financial education experience stays safe. Done when Azure prompt safety screening evaluates every message and known multilingual or encoded attacks are tested. Demo: adversarial test report.",Backlog,1,2026/09/28,2026/10/04,Eric,"P0|s04|security|guardrails","Configure prompt shield|Define safe failure behavior|Add adversarial tests|Measure false blocks"
"PR-013 Harden request validation and search input","As a student I want unusual characters in my question handled safely so that they cannot break search or bypass request protections. Done when CORS headers are explicit search syntax is escaped and long input safety scans have bounded runtime. Demo: special-character and maximum-length tests pass.",Backlog,1,2026/09/28,2026/10/04,Rebecca,"P0|s04|security|RAG","Restrict CORS headers|Set preflight cache|Escape search syntax|Audit regex timing"
"PR-014 Design privacy-safe telemetry","As the university team we want useful operational records without storing student messages or identifiers in unsafe locations. Done when approved structured log fields redaction rules trace-content settings and retention mapping are defined. Dependency: DEC-004. Demo: sample redacted record reviewed by manager.",Backlog,1,2026/09/28,2026/10/04,Puneeth,"P0|s04|privacy|observability","Define allowed fields|Define redaction rules|Review trace attributes|Publish design"
"PR-015 Require a verified identity on chat requests","As a student I want only my authenticated account to use the chatbot so that others cannot impersonate me. Done when chat and stream endpoints validate signed tokens issuer audience expiry and subject before processing a request. Dependency: DEC-001. Demo: valid token succeeds and invalid expired or wrong-audience tokens fail.",Backlog,1,2026/10/05,2026/10/11,Rebecca,"P0|s05|security|authentication","Implement JWT dependency|Validate JWKS claims|Add authenticated test fixtures|Return safe unauthorized errors"
"PR-016 Prevent one student from accessing another student's chat","As a student I want my chat history isolated from every other student so that changing a conversation ID cannot reveal their messages. Done when conversation keys include the verified identity and cross-student access tests fail safely. Dependency: PR-015. Demo: attempted cross-student conversation access is denied.",Backlog,1,2026/10/05,2026/10/11,Puneeth,"P0|s05|security|authentication|privacy","Namespace conversation keys|Validate conversation ID|Add BOLA tests"
"PR-017 Send the signed widget token to the backend","As a logged-in student I want the custom LearnWorlds widget to send my approved token automatically so that I can use the secured chatbot without an extra login. Done when frontend integration passes the contract tests. Dependency: PR-007 and DEC-001. Demo: browser request contains the approved authorization header.",Backlog,1,2026/10/05,2026/10/11,,"P0|s05|frontend|external-dependency|authentication","Implement token retrieval|Attach authorization header|Run end-to-end browser test"
"PR-018 Keep approved conversations through restarts","As a student I want the chatbot to remember our approved conversation after a restart or server change so that follow-up questions make sense. Done when Redis replaces in-memory history with a one-hour sliding expiry and guarded replies are explicitly saved. Dependency: DEC-002 and PR-015. Demo: restart and multi-instance follow-up test.",Backlog,1,2026/10/12,2026/10/18,Rebecca,"P0|s06|state|privacy|reliability","Create conversation repository|Use TLS Redis|Apply one-hour TTL|Persist guarded reply|Remove memory store"
"PR-019 Degrade safely when Redis is unavailable","As a student I want the chatbot to give a safe answer even if shared conversation storage is temporarily unavailable so that I do not receive a server error. Done when the app enters documented stateless mode records a redacted degradation event and recovers normally. Dependency: PR-018. Demo: simulated Redis outage.",Backlog,1,2026/10/12,2026/10/18,Eric,"P0|s06|state|reliability|testing","Add outage handling|Add metrics|Add Redis-down tests|Document behavior"
"PR-020 Limit abusive chat use by verified student","As the university team we want a fair per-student request limit so that automated abuse cannot exhaust the AI budget. Done when Redis-backed limits apply to authenticated identity including stream concurrency and clear retry timing. Dependency: PR-015 and PR-018. Demo: rate limit is enforced without blocking another student.",Backlog,1,2026/10/19,2026/10/25,Rebecca,"P0|s07|security|reliability","Configure rate limiter|Key by subject|Add stream cap|Return Retry-After|Test isolation"
"PR-021 Send redacted operational logs to Azure Monitor","As the university team we want operational visibility without plaintext student data on a server disk. Done when local file logging is removed structured stdout logs are centralized and a redactor removes identifiers and message content. Dependency: PR-014. Demo: inspect a sample redacted cloud log.",Backlog,1,2026/10/19,2026/10/25,Eric,"P0|s07|privacy|observability","Remove FileHandler|Add structured stdout logging|Add redactor|Configure Azure Monitor|Add log tests"
"PR-022 Apply approved retention settings","As the university team we want student-related records deleted on the approved schedule so that privacy obligations are met. Done when Redis telemetry and feedback retention values match the written policy and deletion ownership is documented. Dependency: DEC-004 and PR-021. Demo: configuration and policy match.",Backlog,1,2026/10/19,2026/10/25,Puneeth,"P0|s07|privacy|compliance","Configure retention|Document purge ownership|Review trace content setting"
"PR-023 Keep Azure calls from blocking other students","As a student I want my request to remain responsive when another request waits for Azure so that one slow call does not freeze the chatbot. Done when embedding search and rewriting use asynchronous clients and concurrency tests show independent requests continue. Demo: concurrent request test.",Backlog,2,2026/10/26,2026/11/01,Puneeth,"P1|s08|reliability|performance","Adopt async OpenAI client|Adopt async Search client|Convert retrieval flow|Add concurrency tests"
"PR-024 Recover from temporary Azure failures","As a student I want temporary cloud delays retried safely so that a brief outage does not immediately fail my question. Done when bounded retry jitter timeout and circuit-breaker behavior handle transient failures without retrying permanent safety errors. Demo: simulated 429 timeout and recovery.",Backlog,2,2026/10/26,2026/11/01,Rebecca,"P1|s08|reliability|Azure","Add retry policies|Respect retry timing|Add circuit breakers|Add failure tests"
"PR-025 Report real service readiness","As operations staff we want the readiness check to show dependency problems so that monitoring detects a broken chatbot. Done when liveness stays lightweight and readiness time-bounds Azure OpenAI and Search checks then returns a safe 503 on failure. Demo: dependency failure changes readiness status.",Backlog,2,2026/10/26,2026/11/01,Eric,"P1|s08|reliability|observability","Add live endpoint|Add ready endpoint|Probe dependencies|Add tests|Document monitoring"
"PR-026 Run the service safely across multiple workers","As the university team we want to use available server capacity without breaking conversations so that the service can handle more students. Done when worker configuration uses shared Redis state and is deployed to staging. Dependency: PR-018 and PR-023. Demo: two workers serve a continuous conversation.",Backlog,2,2026/11/02,2026/11/08,Rebecca,"P1|s09|scalability|deployment","Configure Gunicorn workers|Set worker limits|Deploy staging|Verify shared history"
"PR-027 Measure production-like load and fix the top bottleneck","As the university team we want evidence of expected capacity so that launch decisions are based on results rather than assumptions. Done when authenticated chat streaming rate limit and dependency-failure scenarios have a recorded load-test result and highest-risk finding is addressed. Dependency: PR-020 through PR-026 and DEC-003. Demo: manager-facing load report.",Backlog,1,2026/11/02,2026/11/08,Puneeth,"P1|s09|scalability|quality","Define load scenarios|Run staging test|Record latency and errors|Fix top finding|Publish report"
"PR-028 Split course material at meaningful boundaries","As a student I want answers grounded in complete course concepts so that definitions tables and steps are not cut apart. Done when the ingestion process chunks by headings paragraphs and lists while preserving source metadata. Demo: before-and-after chunk examples and tests.",Backlog,2,2026/11/09,2026/11/15,Puneeth,"P1|s10|RAG|quality","Implement structure-aware chunker|Preserve metadata|Update chunk tests|Generate candidate index"
"PR-029 Re-index course material with a safe rollback","As the project team we want to update course material without risking the live search experience. Done when an index version has checksums validation and a documented promotion or rollback path. Dependency: PR-028. Demo: validate and promote a staging index.",Backlog,2,2026/11/09,2026/11/15,Rebecca,"P1|s10|RAG|deployment","Version index build|Validate checksums|Add promotion procedure|Document rollback"
"PR-030 Decline unsupported questions instead of inventing answers","As a student I want the bot to say when the course does not cover a topic so that I am not given an invented answer. Done when semantic reranking and a calibrated relevance threshold produce a clear out-of-scope response. Dependency: PR-028 and PR-029. Demo: in-scope and unrelated question results.",Backlog,2,2026/11/16,2026/11/22,Puneeth,"P1|s11|RAG|safety","Configure semantic reranking|Calibrate threshold|Implement fallback response|Add evaluation cases"
"PR-031 Prefer course modules relevant to each persona","As a student I want the chatbot to prioritize course material that fits my selected learning style without hiding other relevant lessons. Done when priority modules boost ranking rather than acting as a hard filter. Dependency: PR-030. Demo: compare baseline and boosted retrieval.",Backlog,2,2026/11/16,2026/11/22,Rebecca,"P1|s11|RAG|persona","Map persona modules|Add ranking boost|Escape rewritten query|Add regression tests"
"PR-032 Measure retrieval safety and coverage","As the project team we want proof that retrieval changes improved results so that better-looking answers do not hide worse grounding. Done when the golden set reports module source and out-of-scope performance before and after Sprint 11. Dependency: PR-008 and PR-030. Demo: evaluation report.",Backlog,2,2026/11/16,2026/11/22,Eric,"P1|s11|quality|RAG","Run baseline|Run revised evaluation|Publish comparison|Review regressions"
"PR-033 Make persona guidance consistent and testable","As a student I want my selected avatar to respond in a recognizable helpful style so that the experience feels intentional. Done when prompts use clear sections two examples per persona and persona-specific output limits. Demo: sample answers for all eight personas.",Backlog,2,2026/11/23,2026/11/29,Puneeth,"P1|s12|persona|quality","Version prompt assets|Add examples|Add XML sections|Set dynamic token limits|Add persona tests"
"PR-034 Reuse persona pipelines at startup","As a student I want quick responses so that the service does not rebuild the same avatar setup for every question. Done when all persona chains are prepared at startup and reused safely. Dependency: PR-033. Demo: startup cache and request-path measurement.",Backlog,2,2026/11/23,2026/11/29,Rebecca,"P1|s12|performance|persona","Create lifespan initialization|Cache eight chains|Add startup tests|Measure latency"
"PR-035 Expand the security and quality regression set","As the project team we want privacy safety injection streaming and citation examples checked repeatedly so that fixes do not regress before semester close. Done when the test set covers agreed scenarios and is runnable in CI or staging. Demo: recurring report.",Backlog,2,2026/11/23,2026/11/29,Eric,"P1|s12|quality|security","Add FERPA cases|Add XSS cases|Add injection cases|Add stream cases|Version dataset"
"PR-036 Preserve useful context in long conversations","As a student I want relevant earlier context remembered without retaining an unlimited transcript so that follow-up questions stay useful and private. Done when a bounded rolling summary and recent turns are stored atomically with the same retention policy. Dependency: PR-018. Demo: long-chat follow-up retains key non-sensitive context.",Backlog,2,2026/11/30,2026/12/06,Puneeth,"P1|s13|state|RAG|privacy","Design summary trigger|Store summary atomically|Update rewrite context|Add long-conversation tests"
"PR-037 Let students rate chatbot answers","As a student I want to mark an answer helpful or unhelpful so that the team knows what to improve. Done when an authenticated feedback endpoint accepts a response ID rating and bounded optional comment without storing unnecessary PII. Dependency: PR-007 and PR-015. Demo: submit feedback and view redacted record.",Backlog,2,2026/11/30,2026/12/06,Eric,"P1|s13|feedback|frontend|privacy","Define payload|Implement endpoint|Add auth validation|Coordinate widget control|Add tests"
"PR-038 Run automated answer-quality checks","As the project team we want answer grounding relevance and context quality measured before changes are accepted so that release quality is visible. Done when an evaluation job reports agreed metrics and rejects material regression. Dependency: PR-032 and PR-035. Demo: passing and intentionally regressed evaluation run.",Backlog,2,2026/12/07,2026/12/13,Puneeth,"P1|s14|quality|evaluation","Select evaluation framework|Implement job|Set baseline thresholds|Publish report"
"PR-039 Make feedback visible without exposing student data","As the manager we want a simple picture of answer ratings and recurring issues so that improvement priorities come from students. Done when aggregated feedback appears in a privacy-safe report with no raw identifiable content. Dependency: PR-037. Demo: manager-facing summary.",Backlog,2,2026/12/07,2026/12/13,Eric,"P1|s14|feedback|observability","Aggregate feedback|Redact comments|Create manager report|Document access"
"PR-040 Upgrade cloud SDKs behind the safety net","As the project team we want supported Azure clients and API versions so that production fixes and features remain available. Done when versions are upgraded behind tests and staging validation with a rollback note. Dependency: PR-005 and PR-027. Demo: staging verification report.",Backlog,2,2026/12/07,2026/12/13,Rebecca,"P1|s14|reliability|deployment","Select supported versions|Update dependencies|Run tests|Validate staging|Document rollback"
"PR-041 Validate the complete production path in staging","As the university team we want proof that the secured multi-server chatbot works end to end before semester close. Done when login Redis streaming safety rate limits Azure failures monitoring and retrieval quality pass in a production-like staging environment. Dependency: all P0 stories and PR-023 through PR-040. Demo: recorded end-to-end acceptance run.",Backlog,1,2026/12/14,2026/12/18,Rebecca,"P0|s15|release|quality|risk-high","Prepare acceptance script|Run two-instance test|Run security scenarios|Record evidence|List remaining risks"
"PR-042 Complete privacy and security release review","As the university team we want an explicit record of accepted privacy and security controls so that the semester closes with accountable production readiness. Done when retention authentication logging guardrail and incident contacts are reviewed with managers. Dependency: PR-041. Demo: signed release checklist.",Backlog,1,2026/12/14,2026/12/18,Eric,"P0|s15|release|privacy|security","Review checklist|Verify retention|Verify access controls|Record approvals"
"PR-043 Hand off operations and known risks","As future project members we want clear runbooks and a prioritized next backlog so that the chatbot can be operated and improved after the semester ends. Done when deployment rollback incident response dependency contacts dashboard instructions and deferred P2 work are documented. Dependency: PR-041 and PR-042. Demo: manager can locate and follow each runbook.",Backlog,1,2026/12/14,2026/12/19,Puneeth,"P0|s15|release|documentation","Write runbooks|Write escalation contacts|Record metrics baseline|Prioritize P2 backlog"
"P2-001 Cache approved repeated answers","As a student I want common approved questions answered quickly so that wait time and AI cost are reduced without exposing personal context. Plan only after production validation. Done when cache keys include prompt avatar and knowledge-base versions and input safety runs before cache use.",Backlog,3,,,,"P2|performance|backlog","Design cache scope|Implement invalidation|Add cache safety tests|Measure savings"
"P2-002 Automate knowledge-base refresh","As the project team we want changed course material detected and safely re-indexed so that the chatbot stays current without manual local scripts. Plan only after production validation. Done when checksums trigger validation evaluation and safe index promotion.",Backlog,3,,,,"P2|RAG|backlog","Detect source changes|Build index automatically|Run validation|Promote safely|Notify owners"
